Group.1,Group.2,Experiment
3,28,FBgn0030647 Gresistance
1,23,FBgn0030647 Gresistance
4,18,FBgn0030647 Gresistance
2,29,FBgn0030647 Gresistance
0,18,FBgn0030647 Gresistance
2,10,FBgn0030647 Gresistance
2,12,FBgn0030647 Gresistance
2,76,FBgn0030647 Gresistance
3,20,FBgn0030647 Gresistance
4,31,FBgn0030647 Gresistance
0,11,FBgn0030647 Gresistance
4,20,FBgn0030647 Gresistance
0,17,FBgn0030647 Gresistance
8,46,FBgn0030647 Gresistance
1,29,FBgn0030647 Gresistance
2,26,FBgn0030647 Gresistance
0,24,FBgn0030647 embryo
0,5,FBgn0030647 embryo
1,5,FBgn0030647 embryo
0,2,FBgn0030647 embryo
0,1,FBgn0030647 embryo
0,15,FBgn0030647 embryo
0,20,FBgn0030647 embryo
0,18,FBgn0030647 embryo
0,14,FBgn0030647 embryo
0,10,FBgn0030647 embryo
0,9,FBgn0030647 embryo
0,13,FBgn0030647 embryo
0,5,FBgn0030647 embryo
0,5,FBgn0030647 embryo
0,4,FBgn0030647 embryo
0,6,FBgn0030647 embryo
0,8,FBgn0030647 embryo
0,18,FBgn0030647 embryo
0,5,FBgn0030647 embryo
0,5,FBgn0030647 embryo
0,2,FBgn0030647 embryo
0,13,FBgn0030647 embryo
0,10,FBgn0030647 embryo
0,12,FBgn0030647 embryo
58,34,FBgn0030667 inheritance
61,32,FBgn0030667 inheritance
37,36,FBgn0030667 inheritance
73,34,FBgn0030667 inheritance
46,37,FBgn0030667 inheritance
48,40,FBgn0030667 inheritance
90,45,FBgn0030667 inheritance
82,63,FBgn0030667 inheritance
61,42,FBgn0030667 inheritance
53,15,FBgn0030667 inheritance
39,21,FBgn0030667 inheritance
83,30,FBgn0030667 inheritance
46,36,FBgn0030667 inheritance
88,40,FBgn0030667 inheritance
37,23,FBgn0030667 inheritance
74,41,FBgn0030667 inheritance
49,35,FBgn0030667 inheritance
43,30,FBgn0030667 inheritance
25,16,FBgn0030667 inheritance
82,52,FBgn0030667 inheritance
68,44,FBgn0030667 inheritance
55,33,FBgn0030667 inheritance
52,22,FBgn0030667 inheritance
58,43,FBgn0030667 inheritance
51,24,FBgn0030667 inheritance
70,41,FBgn0030667 inheritance
88,41,FBgn0030667 inheritance
49,42,FBgn0030667 inheritance
35,20,FBgn0030667 inheritance
76,43,FBgn0030667 inheritance
37,37,FBgn0030667 inheritance
51,38,FBgn0030667 inheritance
57,59,FBgn0030667 inheritance
41,28,FBgn0030667 inheritance
48,32,FBgn0030667 inheritance
3,37,FBgn0030667 Gresistance
3,38,FBgn0030667 Gresistance
6,31,FBgn0030667 Gresistance
11,41,FBgn0030667 Gresistance
8,32,FBgn0030667 Gresistance
5,31,FBgn0030667 Gresistance
3,67,FBgn0030667 Gresistance
4,63,FBgn0030667 Gresistance
2,48,FBgn0030667 Gresistance
1,30,FBgn0030667 Gresistance
2,33,FBgn0030667 Gresistance
5,51,FBgn0030667 Gresistance
4,37,FBgn0030667 Gresistance
5,57,FBgn0030667 Gresistance
1,28,FBgn0030667 Gresistance
1,50,FBgn0030667 Gresistance
0,39,FBgn0030667 Gresistance
0,36,FBgn0030667 Gresistance
1,15,FBgn0030667 Gresistance
2,64,FBgn0030667 Gresistance
0,50,FBgn0030667 Gresistance
3,45,FBgn0030667 Gresistance
4,40,FBgn0030667 Gresistance
1,49,FBgn0030667 Gresistance
5,26,FBgn0030667 Gresistance
3,49,FBgn0030667 Gresistance
2,54,FBgn0030667 Gresistance
2,52,FBgn0030667 Gresistance
3,24,FBgn0030667 Gresistance
2,53,FBgn0030667 Gresistance
3,30,FBgn0030667 Gresistance
3,35,FBgn0030667 Gresistance
5,40,FBgn0030667 Gresistance
3,30,FBgn0030667 Gresistance
8,24,FBgn0030667 Gresistance
66,14,FBgn0031074 inheritance
46,14,FBgn0031074 inheritance
82,27,FBgn0031074 inheritance
59,7,FBgn0031074 inheritance
42,9,FBgn0031074 inheritance
53,19,FBgn0031074 inheritance
77,15,FBgn0031074 inheritance
61,8,FBgn0031074 inheritance
92,24,FBgn0031074 inheritance
70,14,FBgn0031074 inheritance
40,10,FBgn0031074 inheritance
18,5,FBgn0031074 inheritance
104,24,FBgn0031074 inheritance
